nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed
yarolegovich/DiscreteScrollView,https://github.com/yarolegovich/DiscreteScrollView,5569,2017-03-03T23:38:54Z,2,Java,1842,false
dmytrodanylyk/circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,5569,2014-06-07T12:58:48Z,1,Java,2843,false
springfox/springfox,https://github.com/springfox/springfox,5549,2012-05-06T06:38:57Z,12,Java,3605,false
lightbend/config,https://github.com/lightbend/config,5547,2011-12-06T08:02:29Z,0,Java,3757,false
hongyangAndroid/FlowLayout,https://github.com/hongyangAndroid/FlowLayout,5543,2015-08-28T09:32:31Z,0,Java,2396,false
jpush/aurora-imui,https://github.com/jpush/aurora-imui,5540,2016-12-13T05:24:01Z,42,Java,1923,false
Alluxio/alluxio,https://github.com/Alluxio/alluxio,5538,2012-12-21T17:43:46Z,53,Java,3375,false
MindorksOpenSource/from-java-to-kotlin,https://github.com/MindorksOpenSource/from-java-to-kotlin,5530,2017-05-21T11:56:27Z,0,Java,1764,false
plantuml/plantuml,https://github.com/plantuml/plantuml,5525,2010-11-04T15:55:50Z,9,Java,4154,false
h2pl/Java-Tutorial,https://github.com/h2pl/Java-Tutorial,5523,2018-05-01T15:57:21Z,0,Java,1419,false
emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,5521,2012-03-11T18:29:18Z,16,Java,3660,false
knightliao/disconf,https://github.com/knightliao/disconf,5513,2014-05-30T09:39:27Z,12,Java,2851,false
google/grafika,https://github.com/google/grafika,5505,2013-12-19T18:36:53Z,1,Java,3012,false
alibaba/freeline,https://github.com/alibaba/freeline,5495,2016-08-03T17:22:52Z,22,Java,2054,false
sockeqwe/mosby,https://github.com/sockeqwe/mosby,5478,2015-03-25T00:59:19Z,15,Java,2552,false
haifengl/smile,https://github.com/haifengl/smile,5475,2014-11-20T16:28:12Z,22,Java,2677,false
facebookarchive/rebound,https://github.com/facebookarchive/rebound,5468,2013-10-11T01:12:37Z,10,Java,3082,false
527515025/springBoot,https://github.com/527515025/springBoot,5443,2016-11-07T02:13:31Z,0,Java,1959,false
gzu-liyujiang/AndroidPicker,https://github.com/gzu-liyujiang/AndroidPicker,5438,2015-10-21T14:21:16Z,50,Java,2342,false
graphql-java/graphql-java,https://github.com/graphql-java/graphql-java,5431,2015-07-06T06:52:20Z,40,Java,2449,false
dm77/barcodescanner,https://github.com/dm77/barcodescanner,5431,2014-02-24T21:14:09Z,6,Java,2945,false
robolectric/robolectric,https://github.com/robolectric/robolectric,5418,2010-08-28T00:28:25Z,81,Java,4222,false
jgilfelt/SystemBarTint,https://github.com/jgilfelt/SystemBarTint,5395,2013-11-17T12:35:05Z,3,Java,3045,false
